"","Industry.Group","X1990","X1991","X1992","X1993","X1994","X1995","X1996","X1997","X1998","X1999","X2000","X2001","X2002","X2003","X2004","X2005","X2006","X2007","X2008","X2009","X2010","X2011","X2012","X2013","X2014","X2015","X2016"
"1","Consumer Discretionary: Automobiles & Components",882753000,952168000,1108816000,1290824008,1368355000,1473215000,1384800334,1538685447,1737515195,1692048279,1875985636,1721457026,1910074594,2035057526,2187043516,1488673498,1484531827,973508546,851431259,413507942,435245658,450977969,447458244,452155632,494980687,559806551,NA
"2","Consumer Discretionary: Consumer Durables & Apparel",738030000,657269000,1143164852,1353469410,1095661607,1346262045,1515275917,2205489229,2663073542,1829592355,2647193490,4498218993,4811552759,5017612469,7625950278,8611737729,9500004839,9770085239,9719434946,9866693555,9549271223,9418195271,8153698257,5896423353,5969221591,7507418448,678868000
"3","Consumer Discretionary: Consumer Services",583442000,532296000,558775000,552269000,623154000,1543734000,2123315744,2204522993,2436364820,2808476266,4359954581,5873550196,6202513496,5588747092,8548140125,12881537324,12712170473,23656687663,24772077964,22975593779,27566045140,25475425572,28677656325,30626369750,34660036509,42564481048,649735343
"4","Consumer Discretionary: Media",29769550000,28148411000,31337643000,32490048000,32526500000,38064282000,40074601934,53407565180,69385107349,73021471213,86134066981,106957254243,94031899954,126376125575,99025072852,102249028165,110265298649,120067331239,101587617593,89031919982,86765454190,83194034946,76848881327,95536888826,39812955374,40305794989,NA
"5","Consumer Discretionary: Retailing",1618292016,1502069016,1608353992,1440458000,1576549992,1795416992,3019827398,4056263598,4424353960,5207075155,5845404403,5781873461,6332138732,8365066182,10713267296,11298108995,12462057240,14700768544,14315367213,16627844043,17005287971,17819036329,18498046383,20638310746,21112080185,22029816612,461173358
"6","Consumer Staples: Food & Staples Retailing",6403853000,6786581000,9729902000,10458897000,12940921000,13837712000,15607613656,15521951184,16715050721,18345952936,22095370552,23942441252,28298476953,28284746036,30914352658,35153055312,40296758620,46775486668,64609784374,64747836648,64079495642,65731122250,67949266186,69552671354,68149033076,69519316160,3348100000
"7","Consumer Staples: Food, Beverage & Tobacco",22011328008,69197375056,95918082632,100615038480,92211733896,99128386675,95917210299,85992501747,97125036770,132221650765,184395471603,212112661608,210047602908,175985704099,180317760511,201415958966,220345232610,52315193317,62716102099,44084901422,43386660584,31362015933,34821838194,23020072383,22390331671,25052121628,1935448000
"8","Consumer Staples: Household & Personal Products",30185000,30944000,30447000,36149000,41560000,53343000,52320783,53952792,61203453,68212423,79827148,136273249,157943000,162095000,167864312,178939228,203127435,230219154,263815469,280206148,306260000,365490000,319580966,1149387259,1105529581,1467504291,NA
"9","Energy",11021718867,10872145785,11822889760,12277117281,12238383584,11745277228,13285614059,24691619212,20643689076,25519946421,26844425552,29885562645,27010224487,27516491309,31626122168,42150501660,49980534978,66301469002,77587208019,100198668547,102654115762,112424615057,128411937907,144412631085,147528064142,151424795675,1357399443
"10","Financials: Banks",314501468000,412057874000,433733630000,448145278008,451004238984,507065964008,590131321844,645350000624,738576543220,755993529478,984503176737,1073321704310,1103069353896,1170055669757,1326417968751,1420608185710,1660476597128,1980778561727,2304502370687,2435305921770,2585574715141,2792434865366,2907947504250,3078396618355,3343912759751,3664996570168,NA
"11","Financials: Diversified Financials",11237855336,11976538950,12756251830,12732487526,12701783052,13650428330,13951021027,116608393161,142514194659,156416166587,218199175145,220586141252,207121913604,198847112633,216212364983,175870760721,277437697410,357254387744,343002991068,313954314443,294437985574,327247792377,329484019309,344277825842,357510749785,571434708135,307983913535
"12","Financials: Insurance",3967420000,4547699000,5909181000,7434855000,9077737000,10800938000,11771096000,32478529656,46891077211,53227946127,85429805631,103437893624,108219169922,117620885395,129907279899,143009228292,160596730901,188858736621,200427763643,195436562022,196172281253,169400432006,175568958919,178958949514,187949191011,195201882155,NA
"13","Financials: Real Estate",14812422000,14839355992,15579359000,17080472992,21135638976,23205587473,29242543197,36672933819,51533430750,61443133353,70011634111,78629009354,92513467239,102263666819,125746502504,149251469359,183077752545,218800344927,233079159813,192968703466,174870047012,178916821405,164475339546,170840911723,176456091080,193165992437,96271414
"14","Health Care: Health Care Equipment & Services",5977334000,6478952000,8320617000,9090059000,9534207000,10327710000,9575806003,10087151672,10692287688,11518906331,13290021801,13528709000,14663583562,14544302280,14864735044,18297043606,19320665007,18241208963,23320490010,24397820908,25672331129,20723106823,21050423004,28191616246,32971421122,42991091908,1950169197
"15","Health Care: Pharmaceuticals, Biotechnology & Life Sciences",634984000,439737000,369803000,703419000,1080315000,1293264000,1392426876,1683281073,1718983604,1728421264,2617146116,3315981658,3587263230,3167257365,5293650772,7502099132,8323337806,6877798968,6821703583,9133744366,7618617788,7206866934,7926420814,8813054851,9386141977,11563661665,63866432
"16","Industrials: Capital Goods",2892230817,2845803624,4223975440,4355043233,4967214680,5931874367,7059514619,9211635429,12042005000,15009435558,17436343891,16361164768,16538744564,16679845381,19906818581,22563717536,25496238616,32726596522,37981144535,37297402489,40537125044,41764147040,45499148172,44775319325,43066068452,36320700472,208027027
"17","Industrials: Commercial & Professional Services",4161060000,4233183000,5518943000,5753487000,5560676000,6364848000,6590446085,6920667128,9406111665,10561350902,12142773680,14086201471,19106409394,17917139634,18618224199,19626751741,21014398906,23642451661,25958093022,27343898249,28226135418,30695296807,31171996772,37245823244,36369071382,40249678517,3725580000
"18","Industrials: Transportation",12159862000,13164537540,13675082176,14976919040,21788862245,24797331071,24467900934,29032645604,34576103838,36249921420,36271924852,41262756854,48615321342,53625268359,59096176812,63632063637,84581938553,88129259776,90731305592,94753031272,89159452086,87128344355,86498060810,85224039878,89505293261,93918721526,NA
"19","Information Technology: Software & Services",4065252024,4113379968,3341260992,3153619947,3131906203,3518333497,3298766635,773200893,1574082673,2896889648,4870026435,4857715085,4823682958,4619814965,5075125355,5501686372,6504797173,6128440104,6108940560,7020735295,7606542025,7179352689,7895862498,8712545026,12712798778,14953804452,464935032
"20","Information Technology: Technology Hardware & Equipment",254157000,247977000,281556000,394867000,665258000,733450237,821477506,1126499216,1035711718,1477567333,2795697075,3001197573,2376032874,2264215472,2187583234,2602873382,3014753560,2754360552,2079333876,1867162849,1730820977,1529758285,1516940938,1397759992,1501585523,1526573363,NA
"21","Information Technology: Semiconductors & Semiconductor Equipment",0,0,0,0,0,0,0,0,12094121,12250500,20386040,53103869,52859797,51200102,42619646,33439549,31006329,69811851,131992902,125763609,136621328,210180182,169919003,177859191,134550495,94516139,NA
"22","Materials",86920827498,92066429501,96108603335,99620631781,105432807657,136257224838,132291432742,170271759266,202256865190,198489208365,247234871684,301161629364,282734984647,250510975345,260883514856,295070577820,309273260052,381519375961,444263909627,399265834292,409394595661,429381436422,465344551840,494012927861,536151157359,545840198545,5938054013
"23","Telecommunications",89872000,85569000,3563240124,7242140775,24960822082,27880913696,28626622036,29719247885,31314109681,45412778910,47272675475,82055496334,85230910425,77316018452,75381165745,74888702632,74295821784,76121769658,75655089454,80872868414,78247198264,78770915078,79979510818,79847315529,85075042951,92544548496,25621728
"24","Utilities",3759269000,3757871000,3523540000,3385237000,3467797000,3517285000,4001700258,5853219171,10996614005,15659207436,20624830109,24289281815,21952575287,21128541236,27959574690,41174020431,61341944476,58540993282,75398717552,76618689735,62289790095,56152726447,60548509974,77021041511,81361972304,88670054190,17646360360
